goal_dist,goal_sin,goal_cos,self_vx,self_vy,d1_dist,d1_sin,d1_cos,d1_vx,d1_vy,d2_dist,d2_sin,d2_cos,d2_vx,d2_vy,action_left,action_right,action_shoot
2.921,0.0,1.0,0.25,-0.0,1.071,0.27,0.963,-0.25,0.0,1.165,-0.141,0.99,-0.215,0.084,12.48,12.48,0
2.904,0.0,1.0,0.292,-0.0,1.054,0.274,0.962,-0.291,0.0,1.15,-0.137,0.991,-0.217,0.117,14.58,14.58,0
2.885,0.0,1.0,0.299,-0.0,1.036,0.279,0.96,-0.298,-0.0,1.137,-0.132,0.991,-0.183,0.132,14.93,14.93,0
2.866,-0.0,1.0,0.3,0.0,1.018,0.284,0.959,-0.3,-0.0,1.125,-0.125,0.992,-0.144,0.137,14.99,14.99,0
2.846,-0.0,1.0,0.3,0.0,0.999,0.289,0.957,-0.3,-0.002,1.117,-0.118,0.993,-0.094,0.145,15.0,15.0,0
2.827,-0.0,1.0,0.3,0.0,0.981,0.294,0.956,-0.292,-0.036,1.113,-0.109,0.994,-0.013,0.165,15.0,15.0,0
2.808,0.0,1.0,0.3,-0.0,0.962,0.296,0.955,-0.298,-0.078,1.112,-0.1,0.995,0.005,0.156,15.0,15.0,0
2.789,0.0,1.0,0.3,-0.0,0.941,0.295,0.955,-0.317,-0.117,1.112,-0.092,0.996,0.012,0.146,15.0,15.0,0
2.77,0.0,1.0,0.3,-0.0,0.918,0.293,0.956,-0.343,-0.149,1.112,-0.084,0.997,0.018,0.137,15.0,15.0,0
2.75,0.0,1.0,0.3,-0.0,0.893,0.29,0.957,-0.372,-0.171,1.113,-0.076,0.997,0.023,0.128,15.0,15.0,0
2.731,0.0,1.0,0.3,-0.0,0.866,0.286,0.958,-0.402,-0.185,1.114,-0.069,0.998,0.027,0.119,15.0,15.0,0
2.712,0.0,1.0,0.3,-0.0,0.837,0.281,0.96,-0.429,-0.194,1.115,-0.062,0.998,0.03,0.112,15.0,15.0,0
2.693,0.0,1.0,0.3,-0.0,0.803,0.273,0.962,-0.505,-0.261,1.117,-0.056,0.998,0.034,0.104,15.0,15.0,0
2.674,0.0,1.0,0.3,-0.0,0.766,0.264,0.964,-0.524,-0.262,1.119,-0.05,0.999,0.036,0.097,15.0,15.0,0
2.654,0.0,1.0,0.3,-0.0,0.729,0.255,0.967,-0.533,-0.257,1.121,-0.044,0.999,0.039,0.091,15.0,15.0,0
2.635,0.0,1.0,0.3,-0.0,0.692,0.245,0.97,-0.541,-0.252,1.123,-0.039,0.999,0.041,0.084,15.0,15.0,0
2.616,0.0,1.0,0.3,-0.0,0.654,0.235,0.972,-0.547,-0.248,1.126,-0.035,0.999,0.043,0.078,15.0,15.0,0
2.597,0.0,1.0,0.3,-0.0,0.616,0.224,0.975,-0.553,-0.243,1.129,-0.03,1.0,0.045,0.073,15.0,15.0,0
2.578,0.0,1.0,0.3,-0.0,0.578,0.212,0.977,-0.558,-0.239,1.131,-0.026,1.0,0.046,0.068,15.0,15.0,0
2.558,0.0,1.0,0.3,-0.0,0.54,0.199,0.98,-0.563,-0.236,1.134,-0.022,1.0,0.048,0.063,15.0,15.0,0
2.539,0.0,1.0,0.3,-0.0,0.502,0.185,0.983,-0.573,-0.232,1.137,-0.019,1.0,0.049,0.058,15.0,15.0,0
2.52,0.001,1.0,0.3,-0.0,0.464,0.17,0.986,-0.561,-0.211,1.141,-0.015,1.0,0.05,0.054,15.0,15.0,0
2.501,0.002,1.0,0.3,-0.0,0.427,0.157,0.988,-0.521,-0.155,1.144,-0.011,1.0,0.051,0.05,15.0,15.0,0
2.482,0.003,1.0,0.3,-0.001,0.395,0.152,0.988,-0.471,-0.104,1.147,-0.007,1.0,0.052,0.047,15.0,15.0,0
2.463,0.007,1.0,0.3,-0.002,0.366,0.152,0.988,-0.432,-0.069,1.151,-0.001,1.0,0.052,0.045,15.0,15.0,0
2.443,0.012,1.0,0.3,-0.004,0.339,0.158,0.987,-0.417,-0.053,1.154,0.007,1.0,0.053,0.043,15.0,15.0,0
2.425,0.02,1.0,0.3,-0.006,0.32,0.175,0.985,-0.222,0.04,1.158,0.017,1.0,0.054,0.042,15.0,15.0,0
2.406,0.038,0.999,0.3,-0.011,0.31,0.209,0.978,-0.155,0.068,1.162,0.037,0.999,0.054,0.044,15.0,15.0,0
2.387,0.058,0.998,0.3,-0.017,0.303,0.247,0.969,-0.125,0.081,1.166,0.059,0.998,0.055,0.047,15.0,15.0,0
2.368,0.07,0.998,0.299,-0.021,0.297,0.281,0.96,-0.103,0.089,1.17,0.074,0.997,0.056,0.048,15.0,15.0,0
2.35,0.084,0.996,0.299,-0.025,0.293,0.316,0.949,-0.082,0.098,1.174,0.089,0.996,0.056,0.049,15.0,15.0,0
2.331,0.099,0.995,0.299,-0.029,0.291,0.353,0.936,-0.063,0.107,1.178,0.106,0.994,0.057,0.051,15.0,15.0,0
2.312,0.113,0.994,0.298,-0.033,0.29,0.391,0.921,-0.044,0.118,1.182,0.122,0.993,0.058,0.053,15.0,15.0,0
2.293,0.123,0.992,0.298,-0.036,0.29,0.424,0.906,-0.029,0.128,1.186,0.134,0.991,0.058,0.053,15.0,15.0,0
2.275,0.131,0.991,0.298,-0.038,0.292,0.457,0.89,-0.014,0.138,1.19,0.144,0.99,0.059,0.053,15.0,15.0,0
2.256,0.14,0.99,0.297,-0.04,0.295,0.49,0.872,0.001,0.151,1.194,0.154,0.988,0.059,0.053,15.0,15.0,0
